씬,오브젝트코드,오브젝트이름,대사
5,57,인형,닮았다.+그런데 배가 이상하게 볼록하네.
5,58,개구리,나에게 키스를 해주면 공을 연못에서 꺼내줄게.
5,59,종이접기책,펼쳐진 페이지에 종이학을 접는 방법이 나와 있어.
5,60,종이접기책,책장을 넘겨보니 색종이가 끼워져 있네.
5,61,종이학 획득,생각보다 어렵네.+친구들이 병문안 왔을 때 종이학으로 가득한 예쁜 병을 줬는데.+ 그거 준비하는데 한참 걸렸었겠다...
6,62,신발 a,엄마가 출근하실 때마다 신는 검은 구두야.
6,63,신발 b,이건 내가 자주 신는 운동화.
6,64,신발 c,아빠가 출근하실 때마다 신는 갈색 구두야.
6,65,신발 d,커다란 가죽 장화야.+아빠가 저런 걸 신는 건 본적 없어.
6,66,문,...?+문이 조금 움직이는 걸 보니 잠긴 건 아닌 것 같아.+ 그치만 뭔가에 걸린 것처럼 아무리 힘을 줘도 안 열려.
6,67,두꺼비,징그러워...
6,68,빨간 구두,우리 집에 이 구두 주인은 없어.
